Tycho Brahe's Mars Observations																			
Source: Tychonis Brahe Dani Opera Omnia																			
"Imput by: Wayne Pafko (March 24, 2000)"							Brahe's Declination Data Converted to Numbers							1582.89					
"[MS] = Mars Symbol (you know…the ""male"" sign)"							(not adjusted to current dates)												
																			
Year	Day	Time	Quote	Volume	Page		Year	Month	Day	Day (adj)	Hour	Min	Days since 1 AD	Date		Dec (deg)	Dec (min)	Dec (sec)	Declination
1595	"DIE 15 NOUEMBRIS, VESPERI."	H.10 M.35 2/3	16  29 5/6	12	455		1595	11	15	25	10		582901.92	1595.90	1.00	16	30	50	16.51
1595	"DIE 15 NOUEMBRIS, VESPERI."	H.10 M.35 2/3	16  30 1/6	12	455		1595	11	15	25	10		582901.92	1595.90	1.00	16	30	10	16.50
1595	"DIE 21 NOUEMBRIS, VESPERI."	H.9 M.38 5/6	Declin. 16  20 vtroque	12	456		1595	11	21	31	9		582907.88	1595.91	1.00	16	20		16.33
1595	"DIE 21 NOUEMBRIS, VESPERI."	H.9 M.44 1/3	16  20	12	456		1595	11	21	31	9		582907.88	1595.91	1.00	16	20		16.33
1595	"DIE 21 NOUEMBRIS, VESPERI."	H.9 M.44 1/3	16  19 3/4	12	456		1595	11	21	31	9		582907.88	1595.91	1.00	16	19	45	16.33
1595	"DIE 21 NOUEMBRIS, VESPERI."	H.9 M.54 5/6	16  19 2/3	12	456		1595	11	21	31	9		582907.88	1595.91	1.00	16	19	40	16.33
1595	"DIE 21 NOUEMBRIS, VESPERI."	H.9 M.54 5/6	16  19 1/2	12	456		1595	11	21	31	9		582907.88	1595.91	1.00	16	19	30	16.33
1595	"DIE 23 NOUEMBRIS, VESPERI."	H.9 M.18 1/6	Decl. [MS]  16  18	12	456		1595	11	23	33	9		582909.88	1595.92	1.00	16	18		16.30
1595	"DIE 23 NOUEMBRIS, VESPERI."	H.9 M.18 1/6	16  18 1/6	12	456		1595	11	23	33	9		582909.88	1595.92	1.00	16	18	10	16.30
1595	"DIE 23 NOUEMBRIS, VESPERI."	H.9 M.23 1/2	16  18 vtroq.	12	456		1595	11	23	33	9		582909.88	1595.92	1.00	16	18		16.30
1595	"DIE 4 DECEMBRIS, VESPERI."	H.8 M.19 1/3	Declin. 16  21 1/4	12	456		1595	12	4	14	8		582920.83	1595.95	1.00	16	21	15	16.35
1595	"DIE 4 DECEMBRIS, VESPERI."	H.8 M.19 1/3	16  21	12	456		1595	12	4	14	8		582920.83	1595.95	1.00	16	21		16.35
1595	"DIE 4 DECEMBRIS, VESPERI."	H.8 M.24 1/6	16  21 1/2	12	456		1595	12	4	14	8		582920.83	1595.95	1.00	16	21	30	16.36
1595	"DIE 4 DECEMBRIS, VESPERI."	H.8 M.24 1/6	16  21	12	456		1595	12	4	14	8		582920.83	1595.95	1.00	16	21		16.35
1595	"DIE 4 DECEMBRIS, VESPERI."	H.8 M.33 2/3	16  21 1/3	12	456		1595	12	4	14	8		582920.83	1595.95	1.00	16	21	20	16.36
1595	"DIE 4 DECEMBRIS, VESPERI."	H.8 M.33 2/3	16  21	12	456		1595	12	4	14	8		582920.83	1595.95	1.00	16	21		16.35
1595	"DIE 5 DECEMBRIS, VESPERI."	H.8 M.4 1/4	Declinatio  16  23 vtroq.	12	456		1595	12	5	15	8		582921.83	1595.95	1.00	16	23		16.38
1595	"DIE 5 DECEMBRIS, VESPERI."	H.8 M.16 5/6	16  22 3/4	12	456		1595	12	5	15	8		582921.83	1595.95	1.00	16	22	45	16.38
1595	"DIE 5 DECEMBRIS, VESPERI."	H.8 M.16 5/6	16  23	12	456		1595	12	5	15	8		582921.83	1595.95	1.00	16	23		16.38
1595	"DIE 6 DECEMBRIS, VESPERI."	H.8 M.29 1/2	Declin. 16  24 5/6	12	457		1595	12	6	16	8		582922.83	1595.96	1.00	16	24	50	16.41
1595	"DIE 6 DECEMBRIS, VESPERI."	H.8 M.29 1/2	16  25	12	457		1595	12	6	16	8		582922.83	1595.96	1.00	16	25		16.42
1595	"DIE 6 DECEMBRIS, VESPERI."	H.8 M.37	16  25 1/6	12	457		1595	12	6	16	8		582922.83	1595.96	1.00	16	25	10	16.42
1595	"DIE 6 DECEMBRIS, VESPERI."	H.8 M.37	16  25	12	457		1595	12	6	16	8		582922.83	1595.96	1.00	16	25		16.42
1595	"DIE 6 DECEMBRIS, VESPERI."	H.8 M.55	16  25 1/6	12	457		1595	12	6	16	8		582922.83	1595.96	1.00	16	25	10	16.42
1595	"DIE 6 DECEMBRIS, VESPERI."	H.8 M.55	16  25	12	457		1595	12	6	16	8		582922.83	1595.96	1.00	16	25		16.42
1595	"DIE 17 DECEMBRIS, VESPERI."	H.6 M.2 5/6	Declin. 16  56 1/3	12	458		1595	12	17	27	6		582933.75	1595.99	1.00	16	56	20	16.94
1595	"DIE 17 DECEMBRIS, VESPERI."	H.6 M.2 5/6	16  56 1/2	12	458		1595	12	17	27	6		582933.75	1595.99	1.00	16	56	30	16.94
1595	"DIE 17 DECEMBRIS, VESPERI."	H.6 M.8 5/6	16  56 1/2	12	458		1595	12	17	27	6		582933.75	1595.99	1.00	16	56	30	16.94
1595	"DIE 17 DECEMBRIS, VESPERI."	H.6 M.8 5/6	16  56 1/2	12	458		1595	12	17	27	6		582933.75	1595.99	1.00	16	56	30	16.94
1595	"DIE 17 DECEMBRIS, VESPERI."	H.6 M.11	16  56 2/3	12	458		1595	12	17	27	6		582933.75	1595.99	1.00	16	56	40	16.94
1595	"DIE 17 DECEMBRIS, VESPERI."	H.6 M.11	16  56 1/2	12	458		1595	12	17	27	6		582933.75	1595.99	1.00	16	56	30	16.94
1595	"DIE 17 DECEMBRIS, VESPERI."	H.6 M.21 1/2	16  56 1/2	12	458		1595	12	17	27	6		582933.75	1595.99	1.00	16	56	30	16.94
1595	"DIE 17 DECEMBRIS, VESPERI."	H.6 M.21 1/2	16  56 3/4	12	458		1595	12	17	27	6		582933.75	1595.99	1.00	16	56	45	16.95
1595	"DIE 17 DECEMBRIS, VESPERI."	H.7 M.10 1/4	16  55 2/3 vno pinn.	12	458		1595	12	17	27	7		582933.79	1595.99	1.00	16	55	40	16.93
1595	"DIE 17 DECEMBRIS, VESPERI."	H.8 M.26	16  56 1/3	12	458		1595	12	17	27	8		582933.83	1595.99	1.00	16	56	20	16.94
1595	"DIE 17 DECEMBRIS, VESPERI."	H.8 M.26	16  56 1/2	12	458		1595	12	17	27	8		582933.83	1595.99	1.00	16	56	30	16.94
1595	"DIE 18 DECEMBRIS, VESPERI."	H.5 M.52 1/2	Declinatio  16  59 5/6	12	458		1595	12	18	28	5		582934.71	1595.99	1.00	16	59	50	17.00
1595	"DIE 18 DECEMBRIS, VESPERI."	H.5 M.52 1/2	16  59 2/3	12	458		1595	12	18	28	5		582934.71	1595.99	1.00	16	59	40	16.99
1595	"DIE 18 DECEMBRIS, VESPERI."	H.5 M.58 2/3	17  0 vtroq.	12	458		1595	12	18	28	5		582934.71	1595.99	1.00	17	0		17.00
1595	"DIE 18 DECEMBRIS, VESPERI."	H.6 M.3 1/2	17  0	12	458		1595	12	18	28	6		582934.75	1595.99	1.00	17	0		17.00
1595	"DIE 18 DECEMBRIS, VESPERI."	H.6 M.3 1/2	17  0 1/6	12	458		1595	12	18	28	6		582934.75	1595.99	1.00	17	0	10	17.00
1595	"DIE 18 DECEMBRIS, VESPERI."	H.6 M.15 1/2	17  0 1/6	12	458		1595	12	18	28	6		582934.75	1595.99	1.00	17	0	10	17.00
1595	"DIE 18 DECEMBRIS, VESPERI."	H.6 M.15 1/2	17  0	12	458		1595	12	18	28	6		582934.75	1595.99	1.00	17	0		17.00
1595	"DIE 18 DECEMBRIS, VESPERI."	H.7 M.41 1/3	17  0 vtroque	12	459		1595	12	18	28	7		582934.79	1595.99	1.00	17	0		17.00
1595	"DIE 18 DECEMBRIS, VESPERI."	H.7 M.48 1/6	17  0 1/6 vtroq.	12	459		1595	12	18	28	7		582934.79	1595.99	1.00	17	0	10	17.00
1595	"DIE 18 DECEMBRIS, VESPERI."	H.7 M.55 2/5	17  0 1/3	12	459		1595	12	18	28	7		582934.79	1595.99	1.00	17	0	20	17.01
1595	"DIE 18 DECEMBRIS, VESPERI."	H.7 M.55 2/5	17  0 1/6	12	459		1595	12	18	28	7		582934.79	1595.99	1.00	17	0	10	17.00
1595	"DIE 18 DECEMBRIS, VESPERI."	H.7 M.59 1/2	17  0 1/6	12	459		1595	12	18	28	7		582934.79	1595.99	1.00	17	0	10	17.00
1595	"DIE 18 DECEMBRIS, VESPERI."	H.7 M.59 1/2	17  0 1/3	12	459		1595	12	18	28	7		582934.79	1595.99	1.00	17	0	20	17.01
1595	"DIE 18 DECEMBRIS, VESPERI."	H.8 M.9 1/2	17  0 1/6	12	459		1595	12	18	28	8		582934.83	1595.99	1.00	17	0	10	17.00
1595	"DIE 18 DECEMBRIS, VESPERI."	H.8 M.9 1/2	17  0 	12	459		1595	12	18	28	8		582934.83	1595.99	1.00	17	0		17.00
1595	"DIE 18 DECEMBRIS, VESPERI."	H.8 M.51 1/4	Decl. [MS]  17  0	12	459		1595	12	18	28	8		582934.83	1595.99	1.00	17	0		17.00
1595	"DIE 18 DECEMBRIS, VESPERI."	H.8 M.51 1/4	17  0 1/6	12	459		1595	12	18	28	8		582934.83	1595.99	1.00	17	0	10	17.00
1595	"DIE 18 DECEMBRIS, VESPERI."	H.8 M.56 2/3	17  0 vno	12	459		1595	12	18	28	8		582934.83	1595.99	1.00	17	0		17.00
1595	"DIE 18 DECEMBRIS, VESPERI."	H.9 M.13 2/3	17  0 1/3	12	459		1595	12	18	28	9		582934.88	1595.99	1.00	17	0	20	17.01
1595	"DIE 18 DECEMBRIS, VESPERI."	H.9 M.13 2/3	17  0	12	459		1595	12	18	28	9		582934.88	1595.99	1.00	17	0		17.00
1595	"DIE 18 DECEMBRIS, VESPERI."	H.7 2/3	16  58 1/2 B.	12	459		1595	12	18	28	7		582934.79	1595.99	1.00	16	58	30	16.98
1596	DIE 2 JANUARIJ.	H.6 M.56 2/3	Declin. [MS]  18  15	13	43		1596	1	2	12	6		582949.75	1596.03	1.00	18	15		18.25
1596	DIE 2 JANUARIJ.	H.7 M.1 1/3	18  14 5/6	13	43		1596	1	2	12	7		582949.79	1596.03	1.00	18	14	50	18.25
1596	DIE 2 JANUARIJ.	H.7 M.1 1/3	17  15 1/6	13	43		1596	1	2	12	7		582949.79	1596.03	1.00	17	15	10	17.25
1596	DIE 2 JANUARIJ.	H.7 M.12 1/2	Declin. [MS]  18  15	13	43		1596	1	2	12	7		582949.79	1596.03	1.00	18	15		18.25
1596	DIE 2 JANUARIJ.	H.7 M.12 1/2	18  14 3/4	13	43		1596	1	2	12	7		582949.79	1596.03	1.00	18	14	45	18.25
1596	DIE 3 JANUARIJ.	H.6 M.18 3/4	Declin. [MS]  18  19 5/6 vno pinnac.	13	43		1596	1	3	13	6		582950.75	1596.03	1.00	18	19	50	18.33
1596	DIE 3 JANUARIJ.	H.6 M.21 5/6	18  20 vno	13	43		1596	1	3	13	6		582950.75	1596.03	1.00	18	20		18.33
1596	DIE 3 JANUARIJ.	H.6 M.40	18  20	13	43		1596	1	3	13	6		582950.75	1596.03	1.00	18	20		18.33
1596	DIE 3 JANUARIJ.	H.6 M.40	18  19 1/2	13	43		1596	1	3	13	6		582950.75	1596.03	1.00	18	19	30	18.33
1596	DIE 3 JANUARIJ.	H.7 M.13 2/3	Declin. [MS]  18  19 1/2	13	44		1596	1	3	13	7		582950.79	1596.03	1.00	18	19	30	18.33
1596	DIE 3 JANUARIJ.	H.7 M.13 2/3	18  20	13	44		1596	1	3	13	7		582950.79	1596.03	1.00	18	20		18.33
1596	"DIE 12 JANUARIJ, VESPERI."	H.6 M.12 2/3	Declinatio  19  14 5/6	13	44		1596	1	12	22	6		582959.75	1596.06	1.00	19	14	50	19.25
1596	"DIE 12 JANUARIJ, VESPERI."	H.6 M.24 1/2	19  15	13	44		1596	1	12	22	6		582959.75	1596.06	1.00	19	15		19.25
1596	"DIE 12 JANUARIJ, VESPERI."	H.6 M.24 1/2	19  15 1/3	13	44		1596	1	12	22	6		582959.75	1596.06	1.00	19	15	20	19.26
1596	"DIE 12 JANUARIJ, VESPERI."	H.6 M.28	19  15	13	44		1596	1	12	22	6		582959.75	1596.06	1.00	19	15		19.25
1596	"DIE 12 JANUARIJ, VESPERI."	H.6 M.28	19  15 1/2	13	44		1596	1	12	22	6		582959.75	1596.06	1.00	19	15	30	19.26
1596	DIE 16 JANUARIJ.	H.6 M.21 1/3	Declin.  19  40	13	44		1596	1	16	26	6		582963.75	1596.07	1.00	19	40		19.67
1596	DIE 16 JANUARIJ.	H.6 M.21 1/3	19  40 1/6	13	44		1596	1	16	26	6		582963.75	1596.07	1.00	19	40	10	19.67
1596	DIE 16 JANUARIJ.	H.6 M.31	19  39 5/6	13	44		1596	1	16	26	6		582963.75	1596.07	1.00	19	39	50	19.66
1596	DIE 16 JANUARIJ.	H.6 M.31	19  40	13	44		1596	1	16	26	6		582963.75	1596.07	1.00	19	40		19.67
1596	DIE 16 JANUARIJ.	H.6 M.51 1/6	19  40	13	44		1596	1	16	26	6		582963.75	1596.07	1.00	19	40		19.67
1596	DIE 16 JANUARIJ.	H.6 M.51 1/6	19  40 1/3	13	44		1596	1	16	26	6		582963.75	1596.07	1.00	19	40	20	19.67
1596	"DIE 26 JANUARIJ, VESPERI."	H.6 M.32	Decl. Bor.  20  43 1/2	13	44		1596	1	26	36	6		582973.75	1596.10	1.00	20	43	30	20.73
1596	"DIE 26 JANUARIJ, VESPERI."	H.6 M.32	20  44	13	44		1596	1	26	36	6		582973.75	1596.10	1.00	20	44		20.73
1596	"DIE 26 JANUARIJ, VESPERI."	H.6 M.46	20  45	13	44		1596	1	26	36	6		582973.75	1596.10	1.00	20	45		20.75
1596	"DIE 26 JANUARIJ, VESPERI."	H.6 M.46	20  44 3/4	13	44		1596	1	26	36	6		582973.75	1596.10	1.00	20	44	45	20.75
1596	"DIE 26 JANUARIJ, VESPERI."	H.6 M.54 2/3	20  45	13	44		1596	1	26	36	6		582973.75	1596.10	1.00	20	45		20.75
1596	"DIE 26 JANUARIJ, VESPERI."	H.6 M.54 2/3	20  44 3/4	13	44		1596	1	26	36	6		582973.75	1596.10	1.00	20	44	45	20.75
1596	"DIE 29 JANUARIJ, VESPERI."	H.6 M.4 2/5	Declinatio [MS] B.  21  4	13	45		1596	1	29	39	6		582976.75	1596.10	1.00	21	4		21.07
1596	"DIE 29 JANUARIJ, VESPERI."	H.6 M.4 2/5	21  4 3/4	13	45		1596	1	29	39	6		582976.75	1596.10	1.00	21	4	45	21.08
1596	"DIE 29 JANUARIJ, VESPERI."	H.6 M.11 1/2	Declin. [MS]  21  3 2/3	13	45		1596	1	29	39	6		582976.75	1596.10	1.00	21	3	40	21.06
1596	"DIE 29 JANUARIJ, VESPERI."	H.6 M.11 1/2	21  4 1/6	13	45		1596	1	29	39	6		582976.75	1596.10	1.00	21	4	10	21.07
1596	"DIE 29 JANUARIJ, VESPERI."	H.6 M.16	21  4 1/4	13	45		1596	1	29	39	6		582976.75	1596.10	1.00	21	4	15	21.07
1596	"DIE 29 JANUARIJ, VESPERI."	H.6 M.16	21  4	13	45		1596	1	29	39	6		582976.75	1596.10	1.00	21	4		21.07
1596	"DIE 29 JANUARIJ, VESPERI."	H.6 M.21 5/6	21  3 5/6	13	45		1596	1	29	39	6		582976.75	1596.10	1.00	21	3	50	21.06
1596	"DIE 29 JANUARIJ, VESPERI."	H.6 M.21 5/6	21  4 1/2	13	45		1596	1	29	39	6		582976.75	1596.10	1.00	21	4	30	21.08
1596	"DIE 29 JANUARIJ, VESPERI."	H.6 M.11 1/2	21  4 1/4 B.	13	45		1596	1	29	39	6		582976.75	1596.10	1.00	21	4	15	21.07
1596	DIE 31 JANUARIJ.	H.6 M.15 5/6	Declin. [MS]  21  18	13	45		1596	1	31	41	6		582978.75	1596.11	1.00	21	18		21.30
1596	DIE 31 JANUARIJ.	H.6 M.15 5/6	21  17 1/3	13	45		1596	1	31	41	6		582978.75	1596.11	1.00	21	17	20	21.29
1596	DIE 31 JANUARIJ.	H.6 M.57 1/3	Declinatio  15  28	13	45		1596	1	31	41	6		582978.75	1596.11	1.00	15	28		15.47
1596	DIE 31 JANUARIJ.	H.6 M.57 1/3	15  27 3/4	13	45		1596	1	31	41	6		582978.75	1596.11	1.00	15	27	45	15.46
1596	DIE 3 FEBRUARIJ.	H.5 M.30 5/6	Declinatio [MS] B.  21  36	13	45		1596	2	3	13	5		582981.71	1596.12	1.00	21	36		21.60
1596	DIE 3 FEBRUARIJ.	H.5 M.30 5/6	21  35 2/3	13	45		1596	2	3	13	5		582981.71	1596.12	1.00	21	35	40	21.59
1596	DIE 3 FEBRUARIJ.	H.5 M.37 1/3	Declin.  21  35 2/5	13	45		1596	2	3	13	5		582981.71	1596.12	1.00	21	35	12	21.59
1596	DIE 3 FEBRUARIJ.	H.5 M.37 1/3	21  36	13	45		1596	2	3	13	5		582981.71	1596.12	1.00	21	36		21.60
1596	DIE 3 FEBRUARIJ.	H.5 M.44	21  36 1/6	13	45		1596	2	3	13	5		582981.71	1596.12	1.00	21	36	10	21.60
1596	DIE 3 FEBRUARIJ.	H.5 M.44	21  36	13	45		1596	2	3	13	5		582981.71	1596.12	1.00	21	36		21.60
1596	DIE 3 FEBRUARIJ.	H.5 M.38 S.35	21  35 3/4	13	45		1596	2	3	13	5		582981.71	1596.12	1.00	21	35	45	21.60
1596	DIE 3 FEBRUARIJ.	H.5 M.38 S.35	21  36	13	45		1596	2	3	13	5		582981.71	1596.12	1.00	21	36		21.60
1596	DIE 3 FEBRUARIJ.	H.6 M.4 2/3	Declin. [MS]  21  36 B.	13	46		1596	2	3	13	6		582981.75	1596.12	1.00	21	36		21.60
1596	"DIE 24 FEBRUARIJ, VESPERI."	H.6 M.54 1/6	Declinatio  23  34	13	46		1596	2	24	34	6		583002.75	1596.17	1.00	23	34		23.57
1596	"DIE 24 FEBRUARIJ, VESPERI."	H.6 M.54 1/6	23  34 5/6	13	46		1596	2	24	34	6		583002.75	1596.17	1.00	23	34	50	23.58
1596	"DIE 24 FEBRUARIJ, VESPERI."	H.7 M.4	23  34	13	46		1596	2	24	34	7		583002.79	1596.17	1.00	23	34		23.57
1596	"DIE 24 FEBRUARIJ, VESPERI."	H.7 M.4	23  34 5/6	13	46		1596	2	24	34	7		583002.79	1596.17	1.00	23	34	50	23.58
1596	"DIE 5 MARTIJ, VESPERI."	H.6 M.54 1/3	Decl. [MS]  24  18 1/2 vno	13	46		1596	3	5	15	6		583012.75	1596.20	1.00	24	18	30	24.31
1596	"DIE 5 MARTIJ, VESPERI."	H.7 M.0 1/2	24  18 1/4	13	46		1596	3	5	15	7		583012.79	1596.20	1.00	24	18	15	24.30
1596	"DIE 5 MARTIJ, VESPERI."	H.7 M.0 1/2	24  17	13	46		1596	3	5	15	7		583012.79	1596.20	1.00	24	17		24.28
1596	"DIE 5 MARTIJ, VESPERI."	H.7 M.9 1/2	24  17 1/6	13	46		1596	3	5	15	7		583012.79	1596.20	1.00	24	17	10	24.29
1596	"DIE 5 MARTIJ, VESPERI."	H.7 M.9 1/2	24  17 1/2	13	46		1596	3	5	15	7		583012.79	1596.20	1.00	24	17	30	24.29
1596	"DIE 5 MARTIJ, VESPERI."	H.7 M.14 2/3	Declin. [MS]  24  17 1/3	13	46		1596	3	5	15	7		583012.79	1596.20	1.00	23	17	20	23.29
1596	DIE 9 MARTIJ.	H.7 M.54 2/3	Declin. [MS]  24  33	13	46		1596	3	9	19	7		583016.79	1596.21	1.00	24	33		24.55
1596	DIE 9 MARTIJ.	H.7 M.54 2/3	24  32 1/2	13	46		1596	3	9	19	7		583016.79	1596.21	1.00	24	32	30	24.54
1596	"DIE 14 MARTIJ, VESPERI."	H.7 M.32	Declinatio  24  46 1/3	13	47		1596	3	14	24	7		583021.79	1596.23	1.00	24	46	20	24.77
1596	"DIE 14 MARTIJ, VESPERI."	H.7 M.32	24  46 3/4	13	47		1596	3	14	24	7		583021.79	1596.23	1.00	24	46	45	24.78
1596	"DIE 14 MARTIJ, VESPERI."	H.7 M.35 1/2	24  46 5/6	13	47		1596	3	14	24	7		583021.79	1596.23	1.00	24	46	50	24.78
1596	"DIE 14 MARTIJ, VESPERI."	H.7 M.48	24  47 vno	13	47		1596	3	14	24	7		583021.79	1596.23	1.00	24	47		24.78
1596	"DIE 14 MARTIJ, VESPERI."	H.7 M.46	Declin. [MS]  24  46 1/2	13	47		1596	3	14	24	7		583021.79	1596.23	1.00	24	46	30	24.78
1596	DIE 22 MARTIJ.	H.8 M.43 1/2	Decl. [MS]  25  3 1/3	13	47		1596	3	22	32	8		583029.83	1596.25	1.00	25	3	20	25.06
1596	DIE 22 MARTIJ.	H.8 M.43 1/2	25  4	13	47		1596	3	22	32	8		583029.83	1596.25	1.00	25	4		25.07
1596	DIE 22 MARTIJ.	H.8 M.50	25  3 1/2	13	47		1596	3	22	32	8		583029.83	1596.25	1.00	25	3	30	25.06
1596	DIE 22 MARTIJ.	H.8 M.50	25  4	13	47		1596	3	22	32	8		583029.83	1596.25	1.00	25	4		25.07
1596	DIE 22 MARTIJ.	H.8 M.54 1/4	25  3 1/2	13	47		1596	3	22	32	8		583029.83	1596.25	1.00	25	3	30	25.06
1596	DIE 22 MARTIJ.	H.8 M.54 1/4	25  4	13	47		1596	3	22	32	8		583029.83	1596.25	1.00	25	4		25.07
1596	"DIE 25 APRILIS, VESPERI."	H.8 M.30 1/3	Decl. [MS]  24  30	13	48		1596	4	25	35	8		583063.83	1596.34	1.00	24	30		24.50
1596	"DIE 25 APRILIS, VESPERI."	H.8 M.30 1/3	24  29 1/2	13	48		1596	4	25	35	8		583063.83	1596.34	1.00	24	29	30	24.49
1596	"DIE 25 APRILIS, VESPERI."	H.8 M.36 3/4	24  29 3/4	13	48		1596	4	25	35	8		583063.83	1596.34	1.00	24	29	45	24.50
1596	"DIE 25 APRILIS, VESPERI."	H.8 M.36 3/4	24  30	13	48		1596	4	25	35	8		583063.83	1596.34	1.00	24	30		24.50
1596	"DIE 25 APRILIS, VESPERI."	H.9 M.25	24  30	13	48		1596	4	25	35	9		583063.88	1596.34	1.00	24	30		24.50
1596	DIE 10 MAIJ.	H.9 M.24 2/3	Decl. [MS]  23  19	13	48		1596	5	10	20	9		583078.88	1596.38	1.00	23	19		23.32
1596	DIE 10 MAIJ.	H.9 M.24 2/3	23  16	13	48		1596	5	10	20	9		583078.88	1596.38	1.00	23	16		23.27
1596	DIE 10 MAIJ.	H.9 M.39 1/4	23  17	13	48		1596	5	10	20	9		583078.88	1596.38	1.00	23	17		23.28
1596	DIE 10 MAIJ.	H.9 M.39 1/4	23  17 3/4	13	48		1596	5	10	20	9		583078.88	1596.38	1.00	23	17	45	23.30
1596	DIE 10 MAIJ.	H.9 M.50 1/6	23  20 1/2	13	48		1596	5	10	20	9		583078.88	1596.38	1.00	23	20	30	23.34
1596	DIE 10 MAIJ.	H.9 M.50 1/6	23  21	13	48		1596	5	10	20	9		583078.88	1596.38	1.00	23	21		23.35
1596	DIE 10 MAIJ.	H.10 M.1 1/4	23  20	13	48		1596	5	10	20	10		583078.92	1596.38	1.00	23	20		23.33
1596	DIE 10 MAIJ.	H.10 M.1 1/4	23  19 	13	48		1596	5	10	20	10		583078.92	1596.38	1.00	23	19		23.32
1596	DIE 10 MAIJ.	H.10 M.9 1/6	23  20	13	48		1596	5	10	20	10		583078.92	1596.38	1.00	23	20		23.33
1596	DIE 10 MAIJ.	H.10 M.9 1/6	23  20	13	48		1596	5	10	20	10		583078.92	1596.38	1.00	23	20		23.33
1600	20 Januarij.		Declinatio [MS]  21  26  40 B.	13	220		1600	1	20	30	10		584428.92	1600.08	1.00	21	26	40	21.44
1600	22 Januarij.		Declinatio [MS]  21  41  23 B.	13	221		1600	1	22	32	10		584430.92	1600.08	1.00	21	41	23	21.69
1600	24 Januarij.		Declinatio [MS]  21  56  10 B.	13	221		1600	1	24	34	10		584432.92	1600.09	1.00	21	56	10	21.94
1600	Die 2 Martij.	H.10 P.M.	Declinatio [MS]  24  8  0 B.	13	224		1600	3	2	12	10		584470.92	1600.19	1.00	24	8	0	24.13
1600	Die 9 Martij	H.9 1/2 P.M.	Declinatio [MS]  23  59  0	13	224		1600	3	9	19	9		584477.88	1600.21	1.00	23	59	0	23.98
1600	Die 15 Martij	H.9 1/3	Declinatio [MS]  23  41  40	13	224		1600	3	15	25	9		584483.88	1600.23	1.00	23	41	40	23.69
1600	Die 16 Martij	H. 9 1/4	Declinatio [MS]  23  37  30	13	224		1600	3	16	26	9		584484.88	1600.23	1.00	23	37	30	23.63
